Domain,Competency,Grade,LO Code, Outcome,Skill,Chimple Subject,Chimple Chapter,Chimple Lesson,Difficulty_Score,,,,,,,Source,Code,Score
Number Operations,Addition,Class 1,ILM 4.14,Construct's addition facts up to 18 by using concrete objects and applies them in daily life,Solves horizontal addition sentences up to 20.,Math,Practice Addition,Practice 3,0.5625,,,,,,,,,
Number Operations,Addition,Class 1,ILM 4.14,Construct's addition facts up to 18 by using concrete objects and applies them in daily life,Solves horizontal addition sentences up to 20.,Math,Practice Addition,Practice 4,0.5625,,,,,,,,,
Number Operations,Addition,Class 1,ILM 4.14,Construct's addition facts up to 18 by using concrete objects and applies them in daily life,Solves horizontal addition sentences up to 20.,Math,Practice Addition,Practice 5,0.5625,,,,,,,,,
Number Operations,Addition,Class 1,ILM 4.14,Construct's addition facts up to 18 by using concrete objects and applies them in daily life,Solves horizontal addition sentences up to 20.,Math,Practice Addition,Practice 6,0.5625,,,,,,,,,
Number Operations,Addition,Class 1,ILM 4.14,Construct's addition facts up to 18 by using concrete objects and applies them in daily life,Solves horizontal addition sentences up to 20.,Math,Practice Addition,Quick Addition 3,0.5625,,,,,,,,,
Number Operations,Addition,Class 1,ILM 4.14,Construct's addition facts up to 18 by using concrete objects and applies them in daily life,Solves horizontal addition sentences up to 20.,Math,Practice Addition,Quick Addition 4,0.5625,,,,,,,,,
Number Operations,Addition,Class 1,ILM 4.14,Construct's addition facts up to 18 by using concrete objects and applies them in daily life,Solves horizontal addition sentences up to 20.,Math,Practice Addition,More Additions,0.5625,,,,,,,,,
Number Operations,Addition,Class 1,ILM 4.14,Construct's addition facts up to 18 by using concrete objects and applies them in daily life,Solves horizontal addition sentences up to 20.,Math,Practice Addition,Revisions,0.5625,,,,,,,,,
Number Operations,Addition,Class 1,ILM 4.14,Construct's addition facts up to 18 by using concrete objects and applies them in daily life,Solves addition statements up to 18 by interpreting simple number sentences linked to objects or situations.,Math,Addition Advanced,"Statement Sums 1
",0.5,,,,,,,,,
Number Operations,Addition,Class 1,ILM 4.14,Construct's addition facts up to 18 by using concrete objects and applies them in daily life,Compares quantities in simple situations and adds to find the total up to 18.,Math,Word Problems,Compare and Add,0.5625,,,,,,,,,
Number Operations,Addition,Class 1,ILM 4.14,Construct's addition facts up to 18 by using concrete objects and applies them in daily life,Compares quantities in simple situations and adds to find the total up to 18.,Math,Addition Advanced,"
Compare and Add",0.5625,,,,,,,,,
Number Operations,Addition,Class 2 ,ILM 5.14,Develops their own strategies to add two numbers (sum not exceeding 99) and applies them to solve simple daily life problems/situations,Executes vertical addition strategies for single and double-digit numbers with sums up to 20.,Math,Addition Elementary,Vertical Addition Beginners ,0.625,,,,,,,,,
Number Operations,Addition,Class 2 ,ILM 5.14,Develops their own strategies to add two numbers (sum not exceeding 99) and applies them to solve simple daily life problems/situations,Executes vertical addition strategies for single and double-digit numbers with sums up to 20.,Math,Addition Elementary,Vertical Addition Basic,0.625,,,,,,,,,
Number Operations,Addition,Class 2 ,ILM 5.14,Develops their own strategies to add two numbers (sum not exceeding 99) and applies them to solve simple daily life problems/situations,Executes vertical addition strategies for single and double-digit numbers with sums up to 20.,Math,Addition Elementary,Vertical Addition Medial,0.625,,,,,,,,,
Number Operations,Addition,Class 2 ,ILM 5.14,Develops their own strategies to add two numbers (sum not exceeding 99) and applies them to solve simple daily life problems/situations,Executes vertical addition strategies for single and double-digit numbers with sums up to 20.,Math,Addition Elementary,Add 1-20,0.625,,,,,,,,,
Number Operations,Addition,Class 2 ,ILM 5.14,Develops their own strategies to add two numbers (sum not exceeding 99) and applies them to solve simple daily life problems/situations,Executes vertical addition strategies for single and double-digit numbers with sums up to 20.,Math,Addition Elementary,Add 10-20,0.625,,,,,,,,,
Number Operations,Addition,Class 2 ,ILM 5.14,Develops their own strategies to add two numbers (sum not exceeding 99) and applies them to solve simple daily life problems/situations,Executes vertical addition strategies for single and double-digit numbers with sums up to 20.,Math,Addition Elementary,Addition Mastery,0.625,,,,,,,,,
Number Operations,Addition,Class 2 ,ILM 5.14,Develops their own strategies to add two numbers (sum not exceeding 99) and applies them to solve simple daily life problems/situations,"Develops initial regrouping (carrying) logic and executes vertical procedures where addends include ""teen"" numbers",Math,Addition Elementary,Regroup and Add,0.6875,,,,,,,,,
Number Operations,Addition,Class 2 ,ILM 5.14,Develops their own strategies to add two numbers (sum not exceeding 99) and applies them to solve simple daily life problems/situations,"Develops initial regrouping (carrying) logic and executes vertical procedures where addends include ""teen"" numbers",Math,Addition Elementary,Add 2 Digit Numbers,0.6875,,,,,,,,,
Number Operations,Addition,Class 2 ,ILM 5.14,Develops their own strategies to add two numbers (sum not exceeding 99) and applies them to solve simple daily life problems/situations,Applies mental addition strategies for two-digit numbers (sums up to 30) to reinforce fluency.,Math,Practice Addition,Practice 1,0.75,,,,,,,,,
Number Operations,Addition,Class 2 ,ILM 5.14,Develops their own strategies to add two numbers (sum not exceeding 99) and applies them to solve simple daily life problems/situations,Applies mental addition strategies for two-digit numbers (sums up to 30) to reinforce fluency.,Math,Practice Addition,"Practice 2
",0.75,,,,,,,,,
Number Operations,Addition,Class 2 ,ILM 5.14,Develops their own strategies to add two numbers (sum not exceeding 99) and applies them to solve simple daily life problems/situations,Applies mental addition strategies for two-digit numbers (sums up to 30) to reinforce fluency.,Math,Practice Addition,"Practice 7
",0.75,,,,,,,,,
Number Operations,Addition,Class 2 ,ILM 5.14,Develops their own strategies to add two numbers (sum not exceeding 99) and applies them to solve simple daily life problems/situations,Applies mental addition strategies for two-digit numbers (sums up to 30) to reinforce fluency.,Math,Practice Addition,"Practice 8
",0.75,,,,,,,,,
Number Operations,Addition,Class 2 ,ILM 5.14,Develops their own strategies to add two numbers (sum not exceeding 99) and applies them to solve simple daily life problems/situations,Applies mental addition strategies for two-digit numbers (sums up to 30) to reinforce fluency.,Math,Practice Addition,"Quick Addition 1
",0.75,,,,,,,,,
Number Operations,Addition,Class 2 ,ILM 5.14,Develops their own strategies to add two numbers (sum not exceeding 99) and applies them to solve simple daily life problems/situations,Applies mental addition strategies for two-digit numbers (sums up to 30) to reinforce fluency.,Math,Practice Addition,"Quick Addition 2
",0.75,,,,,,,,,
Number Operations,Addition,Class 2 ,ILM 5.14,Develops their own strategies to add two numbers (sum not exceeding 99) and applies them to solve simple daily life problems/situations,Applies mental addition strategies for two-digit numbers (sums up to 30) to reinforce fluency.,Math,Practice Addition,"Quick Addition 5
",0.75,,,,,,,,,
Number Operations,Addition,Class 2 ,ILM 5.14,Develops their own strategies to add two numbers (sum not exceeding 99) and applies them to solve simple daily life problems/situations,Applies mental addition strategies for two-digit numbers (sums up to 30) to reinforce fluency.,Math,Practice Addition,"Quick Addition 6
",0.75,,,,,,,,,
Number Operations,Addition,Class 2 ,ILM 5.14,Develops their own strategies to add two numbers (sum not exceeding 99) and applies them to solve simple daily life problems/situations,Applies mental addition strategies for two-digit numbers (sums up to 30) to reinforce fluency.,Math,Practice Addition,"Quick Addition 7
",0.75,,,,,,,,,
Number Operations,Addition,Class 2 ,ILM 5.14,Develops their own strategies to add two numbers (sum not exceeding 99) and applies them to solve simple daily life problems/situations,Applies mental addition strategies for two-digit numbers (sums up to 30) to reinforce fluency.,Math,Practice Addition,Quick Addition 8,0.75,,,,,,,,,
Number Operations,Addition,Class 2 ,ILM 5.14,Develops their own strategies to add two numbers (sum not exceeding 99) and applies them to solve simple daily life problems/situations,Applies mental addition strategies for two-digit numbers (sums up to 30) to reinforce fluency.,Math,Practice Addition,Add and Learn,0.75,,,,,,,,,
Number Operations,Addition,Class 2 ,ILM 5.14,Develops their own strategies to add two numbers (sum not exceeding 99) and applies them to solve simple daily life problems/situations,Executes multi-step addition by combining three whole numbers to find totals up to 30 using visual models.,Math,Math Operations,"Add 3 Digits - 1
",0.8125,,,,,,,,,
Number Operations,Addition,Class 2 ,ILM 5.14,Develops their own strategies to add two numbers (sum not exceeding 99) and applies them to solve simple daily life problems/situations,Executes multi-step addition by combining three whole numbers to find totals up to 30 using visual models.,Math,Math Operations,Add 3 Digits - 2,0.8125,,,,,,,,,
Number Operations,Addition,Class 2 ,ILM 5.14,Develops their own strategies to add two numbers (sum not exceeding 99) and applies them to solve simple daily life problems/situations,Applies mental strategies to sum two-digit numbers (up to 99) without regrouping.,Math,Addition Advanced,Count & Add,0.8125,,,,,,,,,
Number Operations,Addition,Class 2 ,ILM 5.14,Develops their own strategies to add two numbers (sum not exceeding 99) and applies them to solve simple daily life problems/situations,Applies mental strategies to sum two-digit numbers (up to 99) without regrouping.,Math,Addition Advanced,Double Digits -1,0.8125,,,,,,,,,
Number Operations,Addition,Class 2 ,ILM 5.14,Develops their own strategies to add two numbers (sum not exceeding 99) and applies them to solve simple daily life problems/situations,Applies mental strategies to sum two-digit numbers (up to 99) without regrouping.,Math,Addition Advanced,Double Digits - 2,0.8125,,,,,,,,,
Number Operations,Addition,Class 2 ,ILM 5.14,Develops their own strategies to add two numbers (sum not exceeding 99) and applies them to solve simple daily life problems/situations,Applies mental strategies to sum two-digit numbers (up to 99) without regrouping.,Math,Addition Advanced,Double Digits - 3,0.8125,,,,,,,,,
Number Operations,Addition,Class 2 ,ILM 5.14,Develops their own strategies to add two numbers (sum not exceeding 99) and applies them to solve simple daily life problems/situations,Applies mental strategies to sum two-digit numbers (up to 99) without regrouping.,Math,Addition Advanced,Double Digits - 4,0.8125,,,,,,,,,
Number Operations,Addition,Class 2 ,ILM 5.14,Develops their own strategies to add two numbers (sum not exceeding 99) and applies them to solve simple daily life problems/situations,Applies vertical addition strategies to find sums within the 1–50 range.,Math,Addition Advanced,Calculator - 1,0.6875,,,,,,,,,
Number Operations,Addition,Class 2 ,ILM 5.14,Develops their own strategies to add two numbers (sum not exceeding 99) and applies them to solve simple daily life problems/situations,Applies vertical addition strategies to find sums within the 1–50 range.,Math,Addition Advanced,Calculator - 2,0.6875,,,,,,,,,
Number Operations,Addition,Class 2 ,ILM 5.14,Develops their own strategies to add two numbers (sum not exceeding 99) and applies them to solve simple daily life problems/situations,Applies vertical addition strategies to find sums within the 1–50 range.,Math,Addition Advanced,Calculator - 3,0.6875,,,,,,,,,
Number Operations,Addition,Class 2 ,ILM 5.14,Develops their own strategies to add two numbers (sum not exceeding 99) and applies them to solve simple daily life problems/situations,Executes addition involving regrouping ones into tens using place-value logic.,Math,Addition Advanced,Regroup & Add - 1,0.75,,,,,,,,,
Number Operations,Addition,Class 2 ,ILM 5.14,Develops their own strategies to add two numbers (sum not exceeding 99) and applies them to solve simple daily life problems/situations,Executes addition involving regrouping ones into tens using place-value logic.,Math,Addition Advanced,Regroup & Add - 2,0.75,,,,,,,,,
Number Operations,Addition,Class 2 ,ILM 5.14,Develops their own strategies to add two numbers (sum not exceeding 99) and applies them to solve simple daily life problems/situations,Executes addition involving regrouping ones into tens using place-value logic.,Math,Addition Advanced,Regroup & Add - 3,0.75,,,,,,,,,
Number Operations,Addition,Class 2 ,ILM 5.14,Develops their own strategies to add two numbers (sum not exceeding 99) and applies them to solve simple daily life problems/situations,Executes addition involving regrouping ones into tens using place-value logic.,Math,Addition Advanced,Regroup & Add - 4,0.75,,,,,,,,,
Number Operations,Addition,Class 2 ,ILM 5.14,Develops their own strategies to add two numbers (sum not exceeding 99) and applies them to solve simple daily life problems/situations,Executes addition involving regrouping ones into tens using place-value logic.,Math,Addition Advanced,Regroup & Add - 5,0.75,,,,,,,,,
Number Operations,Addition,Class 2 ,ILM 5.14,Develops their own strategies to add two numbers (sum not exceeding 99) and applies them to solve simple daily life problems/situations,Executes addition involving regrouping ones into tens using place-value logic.,Math,Addition Advanced,Add 1 - 50,0.75,,,,,,,,,
Number Operations,Addition,Class 2 ,ILM 5.14,Develops their own strategies to add two numbers (sum not exceeding 99) and applies them to solve simple daily life problems/situations,Executes addition involving regrouping ones into tens using place-value logic.,Math,Addition Advanced,Calculator - 4,0.75,,,,,,,,,
Number Operations,Addition,Class 2 ,ILM 5.14,Develops their own strategies to add two numbers (sum not exceeding 99) and applies them to solve simple daily life problems/situations,Executes addition involving regrouping ones into tens using place-value logic.,Math,Addition Advanced,Add 10-100,0.75,,,,,,,,,
Number Operations,Addition,Class 2 ,ILM 5.14,Develops their own strategies to add two numbers (sum not exceeding 99) and applies them to solve simple daily life problems/situations,Executes addition involving regrouping ones into tens using place-value logic.,Math,Addition Advanced,Add 11 - 100,0.75,,,,,,,,,
Number Operations,Addition,Class 2 ,ILM 5.14,Develops their own strategies to add two numbers (sum not exceeding 99) and applies them to solve simple daily life problems/situations,Executes addition involving regrouping ones into tens using place-value logic.,Math,Addition Advanced,More Additions,0.75,,,,,,,,,
Number Operations,Addition,Class 2 ,ILM 5.14,Develops their own strategies to add two numbers (sum not exceeding 99) and applies them to solve simple daily life problems/situations,Executes addition involving regrouping ones into tens using place-value logic.,Math,Addition Advanced,Practice Addition,0.75,,,,,,,,,
Number Operations,Addition,Class 2 ,ILM 5.14,Develops their own strategies to add two numbers (sum not exceeding 99) and applies them to solve simple daily life problems/situations,Executes addition involving regrouping ones into tens using place-value logic.,Math,Addition Advanced,Add 1 - 99,0.75,,,,,,,,,
Number Operations,Subtraction,Preschool 2,IL 2.15,Takes out objects from a collection up to 5 objects and recounts,Finds the remaining number by taking away and recounting (up to 5).,Math,Subtraction Beginners,"Subtract 1
",0.3125,,,,,,,,,
Number Operations,Subtraction,Preschool 2,IL 2.15,Takes out objects from a collection up to 5 objects and recounts,Finds the remaining number by taking away and recounting (up to 5).,Math,Subtraction Beginners,Subtract 2,0.3125,,,,,,,,,
Number Operations,Subtraction,Preschool 3,IL 3.15,Takes out objects from a collection up to 9 objects and recounts,Removes three or four objects from a group and recounts to find the remaining number (up to 9).,Math,Subtraction Beginners,"
Subtract 3 & 4
",0.375,,,,,,,,,
Number Operations,Subtraction,Preschool 3,IL 3.15,Takes out objects from a collection up to 9 objects and recounts,Removes three or four objects from a group and recounts to find the remaining number (up to 9).,Math,Subtraction Beginners,"Speed Subtraction 1
",0.375,,,,,,,,,
Number Operations,Subtraction,Preschool 3,IL 3.15,Takes out objects from a collection up to 9 objects and recounts,Removes three or four objects from a group and recounts to find the remaining number (up to 9).,Math,Subtraction Beginners,Speed Subtraction 2,0.375,,,,,,,,,
Number Operations,Subtraction,Preschool 3,IL 3.15,Takes out objects from a collection up to 9 objects and recounts,Removes three or four objects from a group and recounts to find the remaining number (up to 9).,Math,Subtraction Basic,Beginners 1 ,0.375,,,,,,,,,
Number Operations,Subtraction,Preschool 3,IL 3.15,Takes out objects from a collection up to 9 objects and recounts,Removes three or four objects from a group and recounts to find the remaining number (up to 9).,Math,Subtraction Basic,Beginners 2,0.375,,,,,,,,,
Number Operations,Subtraction,Preschool 3,IL 3.15,Takes out objects from a collection up to 9 objects and recounts,Removes three or four objects from a group and recounts to find the remaining number (up to 9).,Math,Subtraction Basic,Subtraction 1 ,0.375,,,,,,,,,
Number Operations,Subtraction,Preschool 3,IL 3.15,Takes out objects from a collection up to 9 objects and recounts,Removes three or four objects from a group and recounts to find the remaining number (up to 9).,Math,Subtraction Basic,Subtraction 2,0.375,,,,,,,,,
Number Operations,Subtraction,Preschool 3,IL 3.15,Takes out objects from a collection up to 9 objects and recounts,Removes three or four objects from a group and recounts to find the remaining number (up to 9).,Math,Subtraction Basic,Subtraction 3,0.375,,,,,,,,,
Number Operations,Subtraction,Preschool 3,IL 3.15,Takes out objects from a collection up to 9 objects and recounts,"Counts the total objects, takes away a given number, and recounts the remaining objects to determine the result (up to 9).",Math,Subtraction Elementary,Count and Subtract,0.4375,,,,,,,,,
Number Operations,Subtraction,Class 1,ILM 4.15,Construct's subtraction facts up to 9 by using concrete objects and applies them in daily life,Determines remaining quantities up to 10 by removing items from a visual collection.,Math,Subtraction Beginners,"
Count & Subtract 1
",0.5,,,,,,,,,
Number Operations,Subtraction,Class 1,ILM 4.15,Construct's subtraction facts up to 9 by using concrete objects and applies them in daily life,Determines remaining quantities up to 10 by removing items from a visual collection.,Math,Subtraction Beginners,Count & Subtract 2,0.5,,,,,,,,,
Number Operations,Subtraction,Class 1,ILM 4.15,Construct's subtraction facts up to 9 by using concrete objects and applies them in daily life,Uses subtraction facts to find how many remain when objects are taken away from 10.,Math,Subtraction Basic,"Count and Subtract 1
",0.5625,,,,,,,,,
Number Operations,Subtraction,Class 1,ILM 4.15,Construct's subtraction facts up to 9 by using concrete objects and applies them in daily life,Uses subtraction facts to find how many remain when objects are taken away from 10.,Math,Subtraction Basic,Count and Subtract 2,0.5625,,,,,,,,,
Number Operations,Subtraction,Class 1,ILM 4.15,Construct's subtraction facts up to 9 by using concrete objects and applies them in daily life,Uses subtraction facts to find how many remain when objects are taken away from 10.,Math,Subtraction Basic,10's Subtraction,0.5625,,,,,,,,,
Number Operations,Subtraction,Class 1,ILM 4.15,Construct's subtraction facts up to 9 by using concrete objects and applies them in daily life,Uses subtraction facts to find how many remain when objects are taken away from 10.,Math,Subtraction Basic,"Subtract From 10
",0.5625,,,,,,,,,
Number Operations,Subtraction,Class 1,ILM 4.15,Construct's subtraction facts up to 9 by using concrete objects and applies them in daily life,Applies subtraction facts up to 10 to compare quantities and determine the difference in simple daily-life contexts.,Math,Subtraction Advanced,"Statement Sums 1
",0.625,,,,,,,,,
Number Operations,Subtraction,Class 1,ILM 4.15,Construct's subtraction facts up to 9 by using concrete objects and applies them in daily life,Applies subtraction facts up to 10 to compare quantities and determine the difference in simple daily-life contexts.,Math,Subtraction Advanced,Comparison,0.625,,,,,,,,,
Number Operations,Subtraction,Class 2 ,ILM 5.15,Develops her/his own strategies to subtract two numbers upto 99 and applies them to solve simple daily life problems/situations,"Applies diverse strategies, to solve subtraction problems up to 20.",Math,Subtraction Basic,Count and Subtract 3,0.6875,,,,,,,,,
Number Operations,Subtraction,Class 2 ,ILM 5.15,Develops her/his own strategies to subtract two numbers upto 99 and applies them to solve simple daily life problems/situations,"Applies diverse strategies, to solve subtraction problems up to 20.",Math,Subtraction Basic,Subtraction Mastery 1,0.6875,,,,,,,,,
Number Operations,Subtraction,Class 2 ,ILM 5.15,Develops her/his own strategies to subtract two numbers upto 99 and applies them to solve simple daily life problems/situations,"Applies diverse strategies, to solve subtraction problems up to 20.",Math,Subtraction Basic,Subtraction Mastery 2,0.6875,,,,,,,,,
Number Operations,Subtraction,Class 2 ,ILM 5.15,Develops her/his own strategies to subtract two numbers upto 99 and applies them to solve simple daily life problems/situations,"Applies diverse strategies, to solve subtraction problems up to 20.",Math,Subtraction Basic,Subtraction Mastery 3,0.6875,,,,,,,,,
Number Operations,Subtraction,Class 2 ,ILM 5.15,Develops her/his own strategies to subtract two numbers upto 99 and applies them to solve simple daily life problems/situations,"Applies diverse strategies, to solve subtraction problems up to 20.",Math,Subtraction Basic,Subtract From 20,0.6875,,,,,,,,,
Number Operations,Subtraction,Class 2 ,ILM 5.15,Develops her/his own strategies to subtract two numbers upto 99 and applies them to solve simple daily life problems/situations,"Applies diverse strategies, to solve subtraction problems up to 20.",Math,Subtraction Basic,Calculator 1 ,0.6875,,,,,,,,,
Number Operations,Subtraction,Class 2 ,ILM 5.15,Develops her/his own strategies to subtract two numbers upto 99 and applies them to solve simple daily life problems/situations,"Applies diverse strategies, to solve subtraction problems up to 20.",Math,Subtraction Basic,Calculator 2,0.6875,,,,,,,,,
Number Operations,Subtraction,Class 2 ,ILM 5.15,Develops her/his own strategies to subtract two numbers upto 99 and applies them to solve simple daily life problems/situations,Applies mental strategies to solve subtraction sentences within the 11–20 range.,Math,Subtraction Elementary,Subtract,0.75,,,,,,,,,
Number Operations,Subtraction,Class 2 ,ILM 5.15,Develops her/his own strategies to subtract two numbers upto 99 and applies them to solve simple daily life problems/situations,Applies mental strategies to solve subtraction sentences within the 11–20 range.,Math,Subtraction Elementary,Subtract 1,0.75,,,,,,,,,
Number Operations,Subtraction,Class 2 ,ILM 5.15,Develops her/his own strategies to subtract two numbers upto 99 and applies them to solve simple daily life problems/situations,Applies mental strategies to solve subtraction sentences within the 11–20 range.,Math,Subtraction Elementary,Subtract 2,0.75,,,,,,,,,
Number Operations,Subtraction,Class 2 ,ILM 5.15,Develops her/his own strategies to subtract two numbers upto 99 and applies them to solve simple daily life problems/situations,Applies mental strategies to solve subtraction sentences within the 11–20 range.,Math,Subtraction Elementary,Speed Subtraction 1-18,0.75,,,,,,,,,
Number Operations,Subtraction,Class 2 ,ILM 5.15,Develops her/his own strategies to subtract two numbers upto 99 and applies them to solve simple daily life problems/situations,apply different subtraction strategies for two-digit numbers (up to 99).,Math,Subtraction Elementary,Calculator 1,0.8125,,,,,,,,,
Number Operations,Subtraction,Class 2 ,ILM 5.15,Develops her/his own strategies to subtract two numbers upto 99 and applies them to solve simple daily life problems/situations,apply different subtraction strategies for two-digit numbers (up to 99).,Math,Subtraction Elementary,Calculator 2,0.8125,,,,,,,,,
Number Operations,Subtraction,Class 2 ,ILM 5.15,Develops her/his own strategies to subtract two numbers upto 99 and applies them to solve simple daily life problems/situations,apply different subtraction strategies for two-digit numbers (up to 99).,Math,Subtraction Elementary,Calculator 3,0.8125,,,,,,,,,
Number Operations,Subtraction,Class 2 ,ILM 5.15,Develops her/his own strategies to subtract two numbers upto 99 and applies them to solve simple daily life problems/situations,apply different subtraction strategies for two-digit numbers (up to 99).,Math,Subtraction Elementary,Subtract 3 ,0.8125,,,,,,,,,
Number Operations,Subtraction,Class 2 ,ILM 5.15,Develops her/his own strategies to subtract two numbers upto 99 and applies them to solve simple daily life problems/situations,apply different subtraction strategies for two-digit numbers (up to 99).,Math,Subtraction Elementary,Subtract 4,0.8125,,,,,,,,,
Number Operations,Subtraction,Class 2 ,ILM 5.15,Develops her/his own strategies to subtract two numbers upto 99 and applies them to solve simple daily life problems/situations,apply different subtraction strategies for two-digit numbers (up to 99).,Math,Subtraction Elementary,Subtract 5,0.8125,,,,,,,,,
Number Operations,Subtraction,Class 2 ,ILM 5.15,Develops her/his own strategies to subtract two numbers upto 99 and applies them to solve simple daily life problems/situations,Apply different subtraction strategies for two-digit numbers (up to 99).,Math,Subtraction Elementary,Subtract 6,0.8125,,,,,,,,,
Number Operations,Subtraction,Class 2 ,ILM 5.15,Develops her/his own strategies to subtract two numbers upto 99 and applies them to solve simple daily life problems/situations,Apply different subtraction strategies for two-digit numbers (up to 99).,Math,Subtraction Advanced,"Subtract - 1

",0.8125,,,,,,,,,
Number Operations,Subtraction,Class 2 ,ILM 5.15,Develops her/his own strategies to subtract two numbers upto 99 and applies them to solve simple daily life problems/situations,Apply different subtraction strategies for two-digit numbers (up to 99).,Math,Subtraction Advanced,Subtract - 2,0.8125,,,,,,,,,
Number Operations,Subtraction,Class 2 ,ILM 5.15,Develops her/his own strategies to subtract two numbers upto 99 and applies them to solve simple daily life problems/situations,Apply different subtraction strategies for two-digit numbers (up to 99).,Math,Subtraction Advanced,"Subtract - 3 
",0.8125,,,,,,,,,
Number Operations,Subtraction,Class 2 ,ILM 5.15,Develops her/his own strategies to subtract two numbers upto 99 and applies them to solve simple daily life problems/situations,Apply different subtraction strategies for two-digit numbers (up to 99).,Math,Subtraction Advanced,Subtract - 4,0.8125,,,,,,,,,
Number Operations,Subtraction,Class 2 ,ILM 5.15,Develops her/his own strategies to subtract two numbers upto 99 and applies them to solve simple daily life problems/situations,Apply different subtraction strategies for two-digit numbers (up to 99).,Math,Subtraction Advanced,Subtract - 5,0.8125,,,,,,,,,
Number Operations,Subtraction,Class 2 ,ILM 5.15,Develops her/his own strategies to subtract two numbers upto 99 and applies them to solve simple daily life problems/situations,Apply different subtraction strategies for two-digit numbers (up to 99).,Math,Subtraction Advanced,Subtract - 6,0.8125,,,,,,,,,
Number Operations,Subtraction,Class 2 ,ILM 5.15,Develops her/his own strategies to subtract two numbers upto 99 and applies them to solve simple daily life problems/situations,Apply different subtraction strategies for two-digit numbers (up to 99).,Math,Subtraction Advanced,Subtract - 7,0.8125,,,,,,,,,
Number Operations,Subtraction,Class 2 ,ILM 5.15,Develops her/his own strategies to subtract two numbers upto 99 and applies them to solve simple daily life problems/situations,Apply different subtraction strategies for two-digit numbers (up to 99).,Math,Subtraction Advanced,Subtract - 8,0.8125,,,,,,,,,
Number Operations,Subtraction,Class 2 ,ILM 5.15,Develops her/his own strategies to subtract two numbers upto 99 and applies them to solve simple daily life problems/situations,Apply different subtraction strategies for two-digit numbers (up to 99).,Math,Subtraction Advanced,Subtract - 9,0.8125,,,,,,,,,
Number Operations,Subtraction,Class 2 ,ILM 5.15,Develops her/his own strategies to subtract two numbers upto 99 and applies them to solve simple daily life problems/situations,Apply different subtraction strategies for two-digit numbers (up to 99).,Math,Subtraction Advanced,Practice,0.8125,,,,,,,,,
Number Operations,Subtraction,Class 2 ,ILM 5.15,Develops her/his own strategies to subtract two numbers upto 99 and applies them to solve simple daily life problems/situations,Apply different subtraction strategies for two-digit numbers (up to 99).,Math,Subtraction Advanced,Subtract 10 - 70,0.8125,,,,,,,,,
Number Operations,Subtraction,Class 2 ,ILM 5.15,Develops her/his own strategies to subtract two numbers upto 99 and applies them to solve simple daily life problems/situations,Apply different subtraction strategies for two-digit numbers (up to 99).,Math,Subtraction Advanced,Subtract 20 - 90,0.8125,,,,,,,,,
Number Operations,Subtraction,Class 2 ,ILM 5.15,Develops her/his own strategies to subtract two numbers upto 99 and applies them to solve simple daily life problems/situations,Applies mental subtraction strategies for numbers up to 45 to reinforce numerical fluency.,Math,Subtraction Advanced,More Sums,0.8125,,,,,,,,,
Number Operations,Subtraction,Class 2 ,ILM 5.15,Develops her/his own strategies to subtract two numbers upto 99 and applies them to solve simple daily life problems/situations,Applies mental subtraction strategies for numbers up to 45 to reinforce numerical fluency.,Math,Subtraction Advanced,Exercise,0.8125,,,,,,,,,
Number Operations,Subtraction,Class 2 ,ILM 5.15,Develops her/his own strategies to subtract two numbers upto 99 and applies them to solve simple daily life problems/situations,Applies mental subtraction strategies for numbers up to 45 to reinforce numerical fluency.,Math,Subtraction Advanced,Exercise 1,0.8125,,,,,,,,,
Number Operations,Subtraction,Class 2 ,ILM 5.15,Develops her/his own strategies to subtract two numbers upto 99 and applies them to solve simple daily life problems/situations,Applies mental subtraction strategies for numbers up to 45 to reinforce numerical fluency.,Math,Subtraction Advanced,Exercise 2,0.8125,,,,,,,,,
Number Operations,Subtraction,Class 2 ,ILM 5.15,Develops her/his own strategies to subtract two numbers upto 99 and applies them to solve simple daily life problems/situations,Solves complex two-digit subtraction problems (up to 99) by applying regrouping strategies and multiples of ten.,Math,Subtraction Advanced,Practice 1 ,0.875,,,,,,,,,
Number Operations,Subtraction,Class 2 ,ILM 5.15,Develops her/his own strategies to subtract two numbers upto 99 and applies them to solve simple daily life problems/situations,Solves complex two-digit subtraction problems (up to 99) by applying regrouping strategies and multiples of ten.,Math,Subtraction Advanced,Practice 2 ,0.875,,,,,,,,,
Number Operations,Subtraction,Class 2 ,ILM 5.15,Develops her/his own strategies to subtract two numbers upto 99 and applies them to solve simple daily life problems/situations,Solves complex two-digit subtraction problems (up to 99) by applying regrouping strategies and multiples of ten.,Math,Subtraction Advanced,Practice 3,0.875,,,,,,,,,
Number Operations,Subtraction,Class 2 ,ILM 5.15,Develops her/his own strategies to subtract two numbers upto 99 and applies them to solve simple daily life problems/situations,Solves complex two-digit subtraction problems (up to 99) by applying regrouping strategies and multiples of ten.,Math,Subtraction Advanced,Practice 4,0.875,,,,,,,,,
Number Operations,Addition-Subtraction Relationship,Class 1,ILM 4.16,Develops relationship between addition and subtraction of numbers,Adds quantities in a word problem to find the total when groups are combined.,Math,Word Problems,Addition 1,0.5625,,,,,,,,,
Number Operations,Addition-Subtraction Relationship,Class 1,ILM 4.16,Develops relationship between addition and subtraction of numbers,Subtracts quantities in a word problem to find how many remain or the difference.,Math,Word Problems,Subtraction 1,0.6875,,,,,,,,,
